ID_P ID_UNP
1A8L Q51760
1A8L Q51760
1A8L Q51760
1A8L Q51760
1A8R P0A6T5
1A8R P0A6T5
1A8R P0A6T5
1A9N P09661
1A9N P09661
1A9N P09661
1A9N P09661
1A9N P09661
1A9X P00968
1A9X P00968
1A9X P00968
1A9X P0A6F1
1A9X P0A6F1
1A9X P0A6F1
1A9X P0A6F1
1A9X P0A6F1
1A9X P0A6F1
1A9X P0A6F1
1A9X P0A6F1
1A9X P0A6F1
1A9X P0A6F1
1A9X P0A6F1
1A9X P0A6F1
1AB8 P26769
1AB8 P26769
1AB8 P26769
1AB8 P26769
1AB8 P26769
1ABA P00276
1AC5 P09620
1AC5 P09620
1AC5 P09620
1AC5 P09620
1AC5 P09620
1AC5 P09620
1AC5 P09620
1AC5 P09620
1AC5 P09620
1AE9 P03700
1AE9 P03700
1AE9 P03700
1AF7 P07801
1AF7 P07801
1AF7 P07801
1AF7 P07801
1AF7 P07801
1AF7 P07801
1AF7 P07801
1AGJ P09331
1AGJ P09331
1AGJ P09331
1AGJ P09331
1AGJ P09331
1AGJ P09331
1AGQ Q07731
1AH7 P09598
1AH7 P09598
1AH7 P09598
1AH7 P09598
1AHS P36325
1AHS P36325
1AHS P36325
1AIH P21442
1AIH P21442
1AIH P21442
1AIS P61999
1AIS P61999
1AIS P61999
1AJS P00503
1AJS P00503
1AJS P00503
1AJS P00503
1AJS P00503
1AJS P00503
1AK0 P24289
1AK0 P24289
1AK0 P24289
1AK0 P24289
1AK0 P24289
1AK0 P24289
1AK0 P24289
1AKO P09030
1AKO P09030
1AKO P09030
1AKO P09030
1AKO P09030
1AKO P09030
1AKO P09030
1AKO P09030
1AKO P09030
1AKO P09030
1AKO P09030
1AL3 P45600
1AL3 P45600
1AL3 P45600
1AL3 P45600
1AL3 P45600
1ALU P05231
1ALU P05231
1ALV P04574
1ALY P29965
1ALY P29965
1ALY P29965
1ALY P29965
1AM2 P72065
1AM2 P72065
1AM2 P72065
1AM2 P72065
1AM2 P72065
1AM2 P72065
1AM2 P72065
1AM2 P72065
1AM7 P03706
1AM7 P03706
1AM7 P03706
1AM7 P03706
1AM7 P03706
1AM7 P03706
1AMU P0C061
1AMU P0C061
1AMU P0C061
1AMU P0C061
1AMU P0C061
1AMU P0C061
1AMU P0C061
1AMU P0C061
1AMU P0C061
1AMU P0C061
1AMU P0C061
1AMU P0C061
1AOC P02681
1AOC P02681
1AOC P02681
1AOC P02681
1AOC P02681
1AOC P02681
1AOC P02681
1AOC P02681
1AOC P02681
1AOE P22906
1AOE P22906
1AOE P22906
1AOE P22906
1AOE P22906
1AOH Q06851
1AOH Q06851
1AOH Q06851
1AOH Q06851
1AOH Q06851
1AOH Q06851
1AOH Q06851
1AOH Q06851
1AOL P03390
1AOL P03390
1AOL P03390
1AOL P03390
1AOL P03390
1AOL P03390
1AOL P03390
1AOL P03390
1AOL P03390
1AOL P03390
1AOL P03390
1AOP P17846
1AOP P17846
1AOP P17846
1AOP P17846
1AOP P17846
1AOP P17846
1AOP P17846
1AOP P17846
1AOP P17846
1AOP P17846
1AOP P17846
1AOP P17846
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOR Q51739
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1AOZ P37064
1APY P20933
1APY P20933
1AQZ P67876
1AQZ P67876
1AQZ P67876
1AQZ P67876
1AQZ P67876
1AQZ P67876
1ARB P15636
1ARB P15636
1ARB P15636
1ARB P15636
1ARB P15636
1ARB P15636
1ARB P15636
1ARB P15636
1ARB P15636
1ARB P15636
1ARB P15636
1ARB P15636
1ARB P15636
1AS4 P01011
1AT0 Q02936
1AT0 Q02936
1AT0 Q02936
1AT0 Q02936
1AT0 Q02936
1AT0 Q02936
1AT3 Q69527
1AT3 Q69527
1AT3 Q69527
1AT3 Q69527
1AT3 Q69527
1ATG Q7SIH2
1ATG Q7SIH2
1ATG Q7SIH2
1ATG Q7SIH2
1ATG Q7SIH2
1ATG Q7SIH2
1ATG Q7SIH2
1ATG Q7SIH2
1ATI P56206
1ATI P56206
1ATI P56206
1ATI P56206
1ATI P56206
1ATI P56206
1ATI P56206
1ATI P56206
1ATI P56206
1ATI P56206
1ATI P56206
1ATI P56206
1ATZ P04275
1ATZ P04275
1ATZ P04275
1ATZ P04275
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUK P15289
1AUO Q53547
1AUO Q53547
1AUO Q53547
1AUO Q53547
1AUO Q53547
1AUO Q53547
1AUO Q53547
1AVG Q27049
1AVG Q27049
1AVG Q27049
1AVG Q27049
1AVG Q27049
1AVG Q27049
1AVO Q06323
1AVW P01070
1AVW P01070
1AVW P01070
1AVW P01070
1AVW P01070
1AVW P01070
1AVW P01070
1AVW P01070
1AVW P01070
1AX8 P41159
1AXD P12653
1AXD P12653
1AXD P12653
1AXD P12653
1AXI P10912
1AXI P10912
1AXI P10912
1AXI P10912
1AXI P10912
1AXI P10912
1AXI P10912
1AXI P10912
1AXI P10912
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYM Q82122
1AYO Q7SIH1
1AYO Q7SIH1
1AYO Q7SIH1
1AYO Q7SIH1
1AYO Q7SIH1
1AZO P06722
1AZO P06722
1AZO P06722
1AZO P06722
1AZO P06722
1AZS P30803
1AZS P30803
1AZS P30803
1B0B P41260
1B0U P02915
1B0U P02915
1B0U P02915
1B0U P02915
1B0U P02915
1B0U P02915
1B12 P00803
1B12 P00803
1B12 P00803
1B12 P00803
1B12 P00803
1B12 P00803
1B12 P00803
1B12 P00803
1B12 P00803
1B12 P00803
1B12 P00803
1B1C P16435
1B1C P16435
1B1C P16435
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B25 Q8U1K3
1B34 P62314
1B34 P62314
1B34 P62314
1B34 P62314
1B34 P62316
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B35 P13418
1B3T P03211
1B3T P03211
1B3T P03211
1B3T P03211
1B3U P30153
1B3U P30153
1B3U P30153
1B3U P30153
1B4F P29323
1B4F P29323
1B5E P08773
1B5E P08773
1B5E P08773
1B5E P08773
1B5E P08773
1B5E P08773
1B5P Q56232
1B5P Q56232
1B5P Q56232
1B5P Q56232
1B5P Q56232
1B5P Q56232
1B5P Q56232
1B5P Q56232
1B5P Q56232
1B63 P23367
1B63 P23367
1B63 P23367
1B63 P23367
1B63 P23367
1B63 P23367
1B63 P23367
1B63 P23367
1B63 P23367
1B63 P23367
1B6A P50579
1B6A P50579
1B6A P50579
1B6A P50579
1B6A P50579
1B6A P50579
1B6A P50579
1B6A P50579
1B6A P50579
1B6A P50579
1B6G P22643
1B6G P22643
1B6G P22643
1B6G P22643
1B6G P22643
1B6G P22643
1B6G P22643
1B6G P22643
1B6G P22643
1B6G P22643
1B77 O80164
1B77 O80164
1B77 O80164
1B77 O80164
1B77 O80164
1B79 P0ACB0
1B7Y P27001
1B7Y P27001
1B7Y P27001
1B7Y P27001
1B8D O36005
1B8K P20783
1B8K P20783
1B8K P20783
1B8K P20783
1B8Z P36206
1B9H O52552
1B9H O52552
1B9H O52552
1B9H O52552
1B9H O52552
1B9H O52552
1B9H O52552
1B9H O52552
1B9H O52552
1B9H O52552
1B9H O52552
1B9H O52552
1B9H O52552
1B9H O52552
1B9H O52552
1B9H O52552
1B9L P0AC19
1B9L P0AC19
1B9L P0AC19
1B9M P0A9G8
1B9M P0A9G8
1B9M P0A9G8
1B9M P0A9G8
1B9M P0A9G8
1B9M P0A9G8
1B9M P0A9G8
1B9O P00709
1B9O P00709
1B9O P00709
1B9O P00709
1B9O P00709
1B9O P00709
1B9W Q25659
1B9W Q25659
1BAZ P03050
1BCO P07636
1BCO P07636
1BCO P07636
1BCO P07636
1BCO P07636
1BCO P07636
1BCO P07636
1BCO P07636
1BCO P07636
1BCO P07636
1BCP P04977
1BCP P04977
1BCP P04977
1BCP P04977
1BCP P04977
1BCP P04977
1BCP P04978
1BCP P04978
1BCP P04978
1BCP P04978
1BCP P04978
1BCP P0A3R5
1BCP P0A3R5
1BCP P0A3R5
1BCP P04981
1BCP P04981
1BCP P04981
1BD3 Q26998
1BD3 Q26998
1BD3 Q26998
1BD3 Q26998
1BD3 Q26998
1BD7 P62697
1BD7 P62697
1BD7 P62697
1BD7 P62697
1BDF P0A7Z4
1BDF P0A7Z4
1BDF P0A7Z4
1BDF P0A7Z4
1BDF P0A7Z4
1BDF P0A7Z4
1BDF P0A7Z4
1BDF P0A7Z4
1BEA P01088
1BEA P01088
1BEA P01088
1BEB P02754
1BEB P02754
1BEB P02754
1BEB P02754
1BEB P02754
1BED P32557
1BED P32557
1BED P32557
1BF2 P10342
1BF2 P10342
1BF2 P10342
1BF2 P10342
1BF2 P10342
1BF2 P10342
1BF2 P10342
1BF2 P10342
1BF2 P10342
1BF2 P10342
1BF2 P10342
1BF2 P10342
1BF2 P10342
1BF2 P10342
1BF2 P10342
1BF2 P10342
1BF6 P45548
1BF6 P45548
1BF6 P45548
1BF6 P45548
1BF6 P45548
1BF6 P45548
1BG1 P42227
1BG1 P42227
1BG1 P42227
1BG1 P42227
1BG1 P42227
1BG1 P42227
1BG1 P42227
1BG1 P42227
1BGC P35833
1BGF P42228
1BGF P42228
1BGF P42228
1BGF P42228
1BGV P24295
1BGV P24295
1BGV P24295
1BGV P24295
1BGV P24295
1BGV P24295
1BGV P24295
1BGV P24295
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BHE P26509
1BIA P06709
1BIA P06709
1BIA P06709
1BIA P06709
1BIA P06709
1BIA P06709
1BIF P25114
1BIF P25114
1BIF P25114
1BIF P25114
1BIF P25114
1BIF P25114
1BIF P25114
1BIF P25114
1BIF P25114
1BIF P25114
1BIF P25114
1BIF P25114
1BIF P25114
1BIF P25114
1BIF P25114
1BJ7 Q28133
1BJ7 Q28133
1BJA P22915
1BJA P22915
1BJA P22915
1BJA P22915
1BKB P56635
1BKP P0CI79
1BKP P0CI79
1BKP P0CI79
1BKP P0CI79
1BKP P0CI79
1BKP P0CI79
1BKP P0CI79
1BKP P0CI79
1BKR Q01082
1BKR Q01082
1BL0 P0ACH5
1BL0 P0ACH5
1BL0 P0ACH5
1BM8 P39678
1BM8 P39678
1BM8 P39678
1BM9 P0CI76
1BM9 P0CI76
1BMT P13009
1BMT P13009
1BMT P13009
1BMT P13009
1BMT P13009
1BO4 Q53396
1BO4 Q53396
1BOB Q12341
1BOB Q12341
1BOB Q12341
1BOB Q12341
1BOB Q12341
1BOB Q12341
1BOB Q12341
1BOL P08056
1BOL P08056
1BOL P08056
1BOL P08056
1BOL P08056
1BOL P08056
1BOL P08056
1BOL P08056
1BOL P08056
1BOO P11409
1BOO P11409
1BOO P11409
1BOO P11409
1BOO P11409
1BOO P11409
1BOO P11409
1BOU P22635
1BOU P22636
1BOU P22636
1BOU P22636
1BOU P22636
1BOU P22636
1BOU P22636
1BOU P22636
1BOU P22636
1BOU P22636
1BOU P22636
1BOU P22636
1BOU P22636
1BPL P06278
1BPL P06278
1BPL P06278
1BPL P06278
1BPL P06278
1BPL P06278
1BPL P06278
1BPL P06278
1BQU P40189
1BQU P40189
1BQU P40189
1BQU P40189
1BQU P40189
1BQU P40189
1BQU P40189
1BQU P40189
1BQU P40189
1BRT P29715
1BRT P29715
1BRT P29715
1BRT P29715
1BRT P29715
1BRT P29715
1BS0 P12998
1BS0 P12998
1BS0 P12998
1BS0 P12998
1BS0 P12998
1BS0 P12998
1BTE P27038
1BTE P27038
1BTE P27038
1BTK Q06187
1BTK Q06187
1BTK Q06187
1BTK Q06187
1BTK Q06187
1BTK Q06187
1BTN Q62261
1BTN Q62261
1BTN Q62261
1BU8 P54318
1BU8 P54318
1BU8 P54318
1BU8 P54318
1BU8 P54318
1BU8 P54318
1BU8 P54318
1BU8 P54318
1BU8 P54318
1BU8 P54318
1BU8 P54318
1BU8 P54318
1BU8 P54318
1BU8 P54318
1BU8 P54318
1BU8 P54318
1BU8 P54318
1BUO Q05516
1BUO Q05516
1BUO Q05516
1BUU P19999
1BUU P19999
1BUU P19999
1BVO Q17034
1BVO Q17034
1BVO Q17034
1BVO Q17034
1BVO Q17034
1BVO Q17034
1BVP P69361
1BVP P69361
1BVP P69361
1BVP P69361
1BVP P69361
1BVY P14779
1BVY P14779
1BVY P14779
1BVY P14779
1BW0 P33447
1BW0 P33447
1BW0 P33447
1BW0 P33447
1BW0 P33447
1BW0 P33447
1BW0 P33447
1BW0 P33447
1BW0 P33447
1BW0 P33447
1BX4 P55263
1BX4 P55263
1BX4 P55263
1BX4 P55263
1BX4 P55263
1BX4 P55263
1BX4 P55263
1BX4 P55263
1BX4 P55263
1BX7 P80302
1BXN P09658
1BXN P09658
1BYF P16108
1BYI P13000
1BYI P13000
1BYI P13000
1BYI P13000
1BYR Q46707
1BYR Q46707
1BYR Q46707
1BYW Q12809
1BYW Q12809
1BYW Q12809
1C0P P80324
1C0P P80324
1C0P P80324
1C0P P80324
1C0P P80324
1C0P P80324
1C0P P80324
1C0P P80324
1C0P P80324
1C1D Q59771
1C1D Q59771
1C1D Q59771
1C1D Q59771
1C1D Q59771
1C1D Q59771
1C1D Q59771
1C1K P13342
1C1K P13342
1C1K P13342
1C1K P13342
1C1K P13342
1C1Y P04049
1C1Y P04049
1C3C Q9X0I0
1C3C Q9X0I0
1C3C Q9X0I0
1C3C Q9X0I0
1C3G P25294
1C3G P25294
1C3G P25294
1C3G P25294
1C3M Q9ZQY5
1C3M Q9ZQY5
1C3M Q9ZQY5
1C3M Q9ZQY5
1C3P O67135
1C3P O67135
1C3P O67135
1C3P O67135
1C3P O67135
1C3P O67135
1C3P O67135
1C3P O67135
1C4K P43099
1C4K P43099
1C4K P43099
1C4K P43099
1C4K P43099
1C4K P43099
1C4K P43099
1C4O Q56243
1C4O Q56243
1C4O Q56243
1C4O Q56243
1C4O Q56243
1C4O Q56243
1C4O Q56243
1C4Q P69179
1C4X Q75WN8
1C4X Q75WN8
1C4X Q75WN8
1C4Z Q05086
1C4Z Q05086
1C4Z Q05086
1C4Z Q05086
1C4Z Q05086
1C52 P04164
1C52 P04164
1C52 P04164
1C5E P03712
1C5E P03712
1C75 P82599
1C7K P56406
1C7K P56406
1C7N Q56257
1C7N Q56257
1C7N Q56257
1C7S Q54468
1C7S Q54468
1C7S Q54468
1C7S Q54468
1C7S Q54468
1C7S Q54468
1C7S Q54468
1C8B P22321
1C8B P22321
1C8B P22321
1C8B P22321
1C8B P22321
1C8N Q9IPS9
1C8N Q9IPS9
1C8N Q9IPS9
1C8U P0AGG2
1C8U P0AGG2
1C8U P0AGG2
1C8U P0AGG2
1C8U P0AGG2
1C8U P0AGG2
1C96 P20004
1C96 P20004
1C96 P20004
1C96 P20004
1C96 P20004
1C96 P20004
1C96 P20004
1C96 P20004
1C96 P20004
1C9B Q00403
1C9B Q00403
1C9K Q05599
1C9O P41016
1C9O P41016
1CB8 Q59288
1CB8 Q59288
1CB8 Q59288
1CB8 Q59288
1CB8 Q59288
1CB8 Q59288
1CB8 Q59288
1CB8 Q59288
1CC5 P11732
1CC5 P11732
1CCW P80078
1CCW P80077
1CCW P80077
1CCW P80077
1CCW P80077
1CCZ P19256
1CCZ P19256
1CCZ P19256
1CCZ P19256
1CD9 P40223
1CD9 P40223
1CD9 P40223
1CD9 P40223
1CD9 P40223
1CD9 P40223
1CD9 P40223
1CDC P08921
1CEO P0C2S3
1CEO P0C2S3
1CEO P0C2S3
1CEO P0C2S3
1CEO P0C2S3
1CEO P0C2S3
1CEO P0C2S3
1CF7 Q16254
1CFB P20241
1CFB P20241
1CFB P20241
1CFB P20241
1CFB P20241
1CFB P20241
1CFB P20241
1CFR P56200
1CFR P56200
1CFR P56200
1CFR P56200
1CFR P56200
1CFR P56200
1CFZ P37182
1CG2 P06621
1CG2 P06621
1CG2 P06621
1CG2 P06621
1CG2 P06621
1CG2 P06621
1CG2 P06621
1CHD P04042
1CHD P04042
1CHD P04042
1CHK P33665
1CHK P33665
1CHK P33665
1CHK P33665
1CHM P38488
1CHM P38488
1CHM P38488
1CHM P38488
1CHM P38488
1CHM P38488
1CI4 O75531
1CI9 Q9KX40
1CI9 Q9KX40
1CI9 Q9KX40
1CI9 Q9KX40
1CI9 Q9KX40
1CI9 Q9KX40
1CI9 Q9KX40
1CI9 Q9KX40
1CI9 Q9KX40
1CI9 Q9KX40
1CID P05540
1CID P05540
1CID P05540
1CID P05540
1CIY P0A366
1CIY P0A366
1CIY P0A366
1CIY P0A366
1CIY P0A366
1CIY P0A366
1CIY P0A366
1CIY P0A366
1CJA P80197
1CJA P80197
1CJW Q29495
1CJW Q29495
1CJW Q29495
1CJX P80064
1CJX P80064
1CJX P80064
1CJX P80064
1CJX P80064
1CKA Q64010
1CKM Q84424
1CKM Q84424
1CKM Q84424
1CKM Q84424
1CKM Q84424
1CL8 P00642
1CL8 P00642
1CL8 P00642
1CL8 P00642
1CL8 P00642
1CMC P0A8U6
1CMC P0A8U6
1CMC P0A8U6
1CMX P35127
1CMX P35127
1CMX P35127
1COJ Q9X6W9
1COJ Q9X6W9
1COZ P27623
1COZ P27623
1COZ P27623
1CP2 P00456
1CP2 P00456
1CP2 P00456
1CPQ P00147
1CPY P00729
1CPY P00729
1CPY P00729
1CPY P00729
1CQ3 Q85307
1CQ3 Q85307
1CQ3 Q85307
1CQ3 Q85307
1CQ3 Q85307
1CQX P39662
1CQX P39662
1CR1 P03692
1CR5 P18759
1CRU P13650
1CRU P13650
1CRU P13650
1CRU P13650
1CS1 P00935
1CS1 P00935
1CS6 P28685
1CT9 P22106
1CT9 P22106
1CT9 P22106
1CT9 P22106
1CTJ Q09099
1CVR P95493
1CVR P95493
1CVR P95493
1CVR P95493
1CWV P11922
1CWV P11922
1CWV P11922
1CWV P11922
1CWV P11922
1CWV P11922
1CWV P11922
1CYD P08074
1CYD P08074
1CZJ P38554
1CZJ P38554
1CZJ P38554
1CZP P0A3C8
1CZP P0A3C8
1CZY Q12933
1CZY Q12933
1D02 P43642
1D02 P43642
1D02 P43642
1D0C P29473
1D0C P29473
1D0C P29473
1D0C P29473
1D0C P29473
1D0C P29473
1D0C P29473
1D0C P29473
1D1G Q60034
1D2F P23256
1D2F P23256
1D2F P23256
1D2N P18708
1D2N P18708
1D2O Q53654
1D2O Q53654
1D2O Q53654
1D2S P04278
1D2S P04278
1D2S P04278
1D2T Q9S1A6
1D2T Q9S1A6
1D2T Q9S1A6
1D2T Q9S1A6
1D2T Q9S1A6
1D2Z P22812
1D3B P62318
1D3B P62318
1D3B P14678
1D3B P14678
1D3Y Q57815
1D3Y Q57815
1D3Y Q57815
1D3Y Q57815
1D3Y Q57815
1D4O P11024
1D4O P11024
1D5R P60484
1D5R P60484
1D5R P60484
1D5R P60484
1D5R P60484
1D5T P21856
1D5T P21856
1D5T P21856
1D5T P21856
1D5T P21856
1D7O P80030
1D7O P80030
1D7O P80030
1D7O P80030
1D8H O13297
1D8H O13297
1D8H O13297
1D8H O13297
1D8W P32170
1D8W P32170
1D8W P32170
1D8W P32170
1D9C P07353
1DAB P14283
1DAB P14283
1DAB P14283
1DAB P14283
1DAB P14283
1DAB P14283
1DAB P14283
1DAB P14283
1DBH Q07889
1DBH Q07889
1DBH Q07889
1DBH Q07889
1DBH Q07889
1DBH Q07889
1DBQ P0ACP7
1DC1 P70985
1DCF P49333
1DCI Q62651
1DCI Q62651
1DCS P18548
1DCS P18548
1DCS P18548
1DD5 Q9X1B9
1DD9 P0ABS5
1DDG P38038
1DDG P38038
1DDG P38038
1DDG P38038
1DDG P38038
1DDL O89511
1DDL O89511
1DDW Q9Z214
1DDW Q9Z214
1DEK P04531
1DEU Q9UBR2
1DEU Q9UBR2
1DEU Q9UBR2
1DFM Q45488
1DFM Q45488
1DFM Q45488
1DFU P68919
1DGW P50477
1DGW P50477
1DGW P50477
1DGW P50477
1DGW P50477
1DGW P50477
1DHK P02873
1DHK P02873
1DHK P02873
1DI6 P0AF03
1DI6 P0AF03
1DI6 P0AF03
1DJ0 P07649
1DJ0 P07649
1DJ7 Q55389
1DJ7 Q55389
1DJ7 Q55389
1DJ7 Q55781
1DJX P10688
1DJX P10688
1DJX P10688
1DJX P10688
1DJX P10688
1DJX P10688
1DK8 O15169
1DK8 O15169
1DKG P09372
1DKG P09372
1DKQ P07102
1DKQ P07102
1DKQ P07102
1DKQ P07102
1DKQ P07102
1DKQ P07102
1DL5 Q56308
1DL5 Q56308
1DLJ P0C0F4
1DLJ P0C0F4
1DLJ P0C0F4
1DM9 P0ACG8
1DMG P38516
1DML P10226
1DMU O68557
1DMU O68557
1DMU O68557
1DMU O68557
1DMU O68557
1DMU O68557
1DNL P0AFI7
1DNP P00914
1DNP P00914
1DNP P00914
1DOF Q8ZY28
1DOF Q8ZY28
1DOF Q8ZY28
1DOF Q8ZY28
1DOI P00217
1DP4 P18910
1DP4 P18910
1DP4 P18910
1DP4 P18910
1DPB P10802
1DPB P10802
1DPB P10802
1DPG P11411
1DPG P11411
1DPG P11411
1DPG P11411
1DPG P11411
1DPG P11411
1DPG P11411
1DPG P11411
1DQ3 E7FHX6
1DQ3 E7FHX6
1DQ3 E7FHX6
1DQ3 E7FHX6
1DQ3 E7FHX6
1DQ3 E7FHX6
1DQ3 E7FHX6
1DQG Q61830
1DQG Q61830
1DQG Q61830
1DQG Q61830
1DQP Q24973
1DQP Q24973
1DQP Q24973
1DQZ P9WQN9
1DQZ P9WQN9
1DQZ P9WQN9
1DS1 Q05581
1DS1 Q05581
1DS1 Q05581
1DS1 Q05581
1DS1 Q05581
1DS1 Q05581
1DSZ P10276
1DT9 P62495
1DT9 P62495
1DT9 P62495
1DT9 P62495
1DT9 P62495
1DTD P81511
1DTD P81511
1DTJ Q9UNW9
1DU3 O14763
1DU3 O14763
1DU3 O14763
1DUS Q58292
1DUV P04391
1DUV P04391
1DUV P04391
1DUV P04391
1DVK P33411
1DVO P29367
1DW0 P81238
1DWK P00816
1DX4 P07140
1DX4 P07140
1DX4 P07140
1DX4 P07140
1DX4 P07140
1DX4 P07140
1DX4 P07140
1DX4 P07140
1DX4 P07140
1DX4 P07140
1DX5 P07204
1DX5 P07204
1DX5 P07204
1DXY P17584
1DXY P17584
1DY5 P61823
1DY5 P61823
1DY5 P61823
1DYN Q05193
1DYN Q05193
1DYO P51584
1DYO P51584
1DYO P51584
1DYP P43478
1DYP P43478
1DYP P43478
1DYP P43478
1DYQ P0A0L2
1DYQ P0A0L2
1DYQ P0A0L2
1DYQ P0A0L2
1DYQ P0A0L2
1DYQ P0A0L2
1DYS Q7SIG5
1DYS Q7SIG5
1DYS Q7SIG5
1DZF P20434
1DZK P81245
1E0C P52197
1E0C P52197
1E0C P52197
1E0C P52197
1E25 P37321
1E25 P37321
1E25 P37321
1E25 P37321
1E29 Q55013
1E2K P0DTH5
1E2T Q00267
1E2T Q00267
1E2T Q00267
1E2T Q00267
1E2W P23577
1E2W P23577
1E2W P23577
1E3P Q53597
1E3P Q53597
1E3P Q53597
1E3P Q53597
1E44 P00646
1E4C P0AB87
1E4C P0AB87
1E4C P0AB87
1E4M P29736
1E4M P29736
1E4M P29736
1E4M P29736
1E4M P29736
1E4M P29736
1E4M P29736
1E4M P29736
1E4M P29736
1E4M P29736
1E58 P62707
1E58 P62707
1E58 P62707
1E58 P62707
1E58 P62707
1E5D Q9F0J6
1E5D Q9F0J6
1E5D Q9F0J6
1E5D Q9F0J6
1E5D Q9F0J6
1E5K P32173
1E5K P32173
1E5R O09345
1E5R O09345
1E5R O09345
