ID_PDB_PU	Pos_PU_ori	Pos_PU_struc_PDB	Pos_PU_seq_PDB	Pos_PU_UNP	ID_UNP
1A6JA_3_18_54	18_54	18_54	18_54	18_54	P69829
1A6ZA_3_48_86	48_86	48_86	48_86	70_108	Q30201
1A7TA_2_1_39	1_39	4_39	1_39	18_56	P25910
1A7TA_6_70_100	70_100	70_100	70_100	87_117	P25910
1A9XA_13_406_447	406_447	406_447	406_447	406_447	P00968
1A9XB_10_189_221	189_221	1690_1722	189_221	190_222	P0A6F1
1AEPA_1_1_47	1_47	6_47	1_47	20_66	P10762
1AEPA_2_79_124	79_124	79_124	79_124	98_142	P10762
1AF7A_10_105_155	105_155	115_165	105_155	115_165	P07801
1AISB_4_100_138	100_138	1200_1238	100_138	200_238	P61999
1AISB_6_43_83	43_83	1143_1183	43_83	143_183	P61999
1AISB_7_139_178	139_178	1239_1278	139_178	239_278	P61999
1AK0A_2_196_231	196_231	196_231	196_231	196_231	P24289
1AKOA_2_110_140	110_140	110_140	110_140	110_140	P09030
1ALUA_2_1_33	1_33	19_31	1_33	27_59	P05231
1ATGA_1_190_231	190_231	191_232	190_231	190_231	Q7SIH2
1B0NA_3_1_42	1_42	1_42	1_42	1_42	P06533
1B4FA_3_1_17	1_17	6_17	1_17	905_921	P29323
1BCPD_1_60_76	60_76	60_76	60_76	102_118	P0A3R5
1BD3A_2_1_18	1_18	-_-	1_18	2_19	Q26998
1BD3A_5_145_199	145_199	146_200	145_199	146_200	Q26998
1BMTA_10_17_32	17_32	667_682	17_32	667_682	P13009
1BOBA_10_168_187	168_187	168_187	168_187	168_187	Q12341
1BOBA_10_268_288	268_288	268_288	268_288	268_288	Q12341
1BX4A_10_78_117	78_117	78_117	78_117	95_134	P55263
1BX4A_12_179_195	179_195	179_195	179_195	196_212	P55263
1BXNI_3_78_100	78_100	78_100	78_100	78_100	P09658
1BYIA_10_159_174	159_174	159_174	159_174	160_175	P13000
1BYWA_1_1_39	1_39	26_64	1_39	26_64	Q12809
1C7NA_10_272_289	272_289	272_289	272_289	272_289	Q56257
1C7NA_10_332_353	332_353	332_353	332_353	332_353	Q56257
1C7NA_6_290_331	290_331	290_331	290_331	290_331	Q56257
1C7SA_10_436_451	436_451	463_478	436_451	463_478	Q54468
1C7SA_10_493_509	493_509	520_536	493_509	520_536	Q54468
1C7SA_10_567_610	567_610	594_637	567_610	594_637	Q54468
1CG2A_10_159_175	159_175	181_197	159_175	181_197	P06621
1CHKA_6_94_118	94_118	94_118	94_118	134_158	P33665
1CHMA_14_40_57	40_57	41_58	40_57	41_58	P38488
1COLA_1_70_129	70_129	70_129	70_129	70_129	Q47108
1CPQA_3_16_49	16_49	16_49	16_49	16_49	P00147
1CPYA_16_139_169	139_169	139_169	139_169	250_280	P00729
1CQXA_10_23_47	23_47	23_47	23_47	23_47	P39662
1CQXA_10_277_294	277_294	277_294	277_294	277_294	P39662
1CQXA_11_157_180	157_180	157_180	157_180	157_180	P39662
1CQXA_14_295_329	295_329	295_329	295_329	295_329	P39662
1CR1A_10_75_94	75_94	345_364	75_94	345_364	P03692
1CR1A_10_95_118	95_118	365_388	95_118	365_388	P03692
1CR5A_3_117_140	117_140	138_161	117_140	138_161	P18759
1CRUA_10_226_244	226_244	226_244	226_244	250_268	P13650
1CRUA_14_18_47	18_47	18_47	18_47	42_71	P13650
1CRUA_16_401_421	401_421	401_421	401_421	425_445	P13650
1CS1A_10_295_316	295_316	295_316	295_316	295_316	P00935
1CS1A_10_355_384	355_384	355_384	355_384	355_384	P00935
1CS1A_10_50_84	50_84	50_84	50_84	50_84	P00935
1CS6A_10_1_33	1_33	7_39	1_33	28_60	P28685
1CS6A_10_261_292	261_292	267_298	261_292	288_319	P28685
1CS6A_10_293_320	293_320	299_326	293_320	320_347	P28685
1CSEI_1_1_24	1_24	8_24	1_24	1_24	P01051
1CSHA_10_150_173	150_173	152_175	150_173	152_175	P23007
1CSHA_14_315_340	315_340	317_342	315_340	317_342	P23007
1CSHA_4_389_420	389_420	391_422	389_420	391_422	P23007
1CSKA_1_1_30	1_30	11_30	1_30	1_30	P41240
1CT5A_4_178_201	178_201	179_202	178_201	179_202	P38197
1CT5A_6_60_83	60_83	61_84	60_83	61_84	P38197
1CT9A_10_333_363	333_363	333_363	333_363	334_364	P22106
1CT9A_19_1_26	1_26	1_26	1_26	2_27	P22106
1CT9A_21_137_159	137_159	137_159	137_159	138_160	P22106
1CUKA_7_1_46	1_46	1_46	1_46	1_46	P0A809
1CV8A_3_121_153	121_153	121_153	121_153	335_367	P81297
1CV8A_4_80_100	80_100	80_100	80_100	294_314	P81297
1CVRA_10_180_203	180_203	180_203	180_203	409_432	P95493
1CVRA_10_44_68	44_68	44_68	44_68	273_297	P95493
1CVRA_11_17_43	17_43	17_43	17_43	246_272	P95493
1CWVA_10_265_293	265_293	759_787	265_293	758_786	P11922
1CWVA_10_360_384	360_384	854_878	360_384	853_877	P11922
1CWVA_11_67_93	67_93	561_587	67_93	560_586	P11922
1CWVA_13_94_132	94_132	588_626	94_132	587_625	P11922
1CYDA_3_83_106	83_106	83_106	83_106	83_106	P08074
1CYDA_6_37_56	37_56	37_56	37_56	37_56	P08074
1CZPA_1_1_37	1_37	1_37	1_37	2_38	P0A3C8
1CZPA_2_1_22	1_22	1_22	1_22	2_23	P0A3C8
1D02A_3_142_177	142_177	142_177	142_177	142_177	P43642
1D2FA_4_256_292	256_292	256_292	256_292	256_292	P23256
1D2NA_5_66_107	66_107	546_587	66_107	538_579	P18708
1D2ZA_1_19_68	19_68	40_89	19_68	40_89	Q05652
1D3YA_3_218_258	218_258	286_326	218_258	286_326	Q57815
1D7OA_10_1_41	1_41	11_51	1_41	84_124	P80030
1D8WA_11_149_171	149_171	150_172	149_171	142_164	P32170
1D9CA_3_50_74	50_74	50_74	50_74	73_97	P07353
1D9CA_3_75_98	75_98	75_98	75_98	98_121	P07353
1DBHA_3_109_144	109_144	306_341	109_144	306_341	Q07889
1DCIA_7_142_176	142_176	194_228	142_176	194_228	Q62651
1DD5A_5_71_102	71_102	71_102	71_102	71_102	Q9X1B9
1DFMA_6_132_160	132_160	132_160	132_160	132_160	Q45488
1DJ0A_4_137_153	137_153	143_159	137_153	143_159	P07649
1DLJA_10_66_117	66_117	66_117	66_117	66_117	P0C0F4
1DNPA_10_348_373	348_373	348_373	348_373	349_374	P00914
1DPBA_6_126_141	126_141	520_535	126_141	521_536	P10802
1DUVG_10_40_81	40_81	40_81	40_81	41_82	P04391
1DYSA_10_161_215	161_215	161_215	161_215	161_215	Q7SIG5
1E5KA_3_20_43	20_43	20_43	20_43	20_43	P32173
1E7LA_1_103_157	103_157	103_157	103_157	103_157	P13340
1E8CA_7_337_381	337_381	337_381	337_381	338_382	P22188
1ECFA_10_276_294	276_294	276_294	276_294	277_295	P0AG16
1ECFA_16_190_208	190_208	190_208	190_208	191_209	P0AG16
1EDZA_10_73_90	73_90	73_90	73_90	73_90	Q02046
1EU8A_10_142_170	142_170	143_171	142_170	183_211	Q7LYW7
1EU8A_10_209_236	209_236	210_237	209_236	250_277	Q7LYW7
1EUHA_14_323_359	323_359	323_359	323_359	323_359	Q59931
1EUHA_18_142_170	142_170	142_170	142_170	142_170	Q59931
1EUVA_6_101_124	101_124	501_524	101_124	501_524	Q02724
1EV7A_10_1_30	1_30	10_30	1_30	1_30	P50187
1EV7A_6_179_211	179_211	179_211	179_211	179_211	P50187
1EVLA_10_379_401	379_401	620_642	379_401	620_642	P0A8M3
1EVLA_10_49_89	49_89	290_330	49_89	290_330	P0A8M3
1EVLA_11_291_334	291_334	532_575	291_334	532_575	P0A8M3
1EVLA_15_307_334	307_334	548_575	307_334	548_575	P0A8M3
1EVYA_10_310_331	310_331	310_331	310_331	310_331	P90551
1EW0A_2_67_87	67_87	188_208	67_87	188_208	P10955
1EW0A_3_88_110	88_110	209_231	88_110	209_231	P10955
1EW4A_3_26_53	26_53	26_53	26_53	26_53	P27838
1EWFA_10_356_383	356_383	356_383	356_383	387_414	P17213
1EWFA_10_428_456	428_456	428_456	428_456	459_487	P17213
1EX0A_13_420_444	420_444	420_444	420_444	421_445	P00488
1EXRA_3_100_134	100_134	100_134	100_134	101_135	P07463
1EYVA_3_22_56	22_56	22_56	22_56	22_56	P9WIV1
1EZ0A_10_168_204	168_204	168_204	168_204	168_204	Q56694
1EZ4A_10_178_194	178_194	194_210	178_194	180_196	P56511
1EZ4A_13_21_37	21_37	36_52	21_37	23_39	P56511
1EZIA_2_193_215	193_215	193_215	193_215	193_215	P0A0Z8
1EZJA_4_29_49	29_49	29_49	29_49	347_367	P04859
1EZWA_10_35_64	35_64	35_64	35_64	35_64	Q8TXY4
1EZWA_11_171_194	171_194	171_194	171_194	171_194	Q8TXY4
1EZWA_11_195_229	195_229	195_229	195_229	195_229	Q8TXY4
1EZWA_13_132_155	132_155	132_155	132_155	132_155	Q8TXY4
1F00I_6_66_95	66_95	723_752	66_95	723_752	P19809
1F00I_7_160_185	160_185	817_842	160_185	817_842	P19809
1F08A_3_60_112	60_112	215_267	60_112	215_267	P03116
1F0KA_10_241_273	241_273	241_273	241_273	240_272	P17443
1F0LA_5_323_361	323_361	323_361	323_361	355_393	P00588
1F3UA_3_39_57	39_57	40_58	39_57	40_58	P13984
1F4PA_5_105_127	105_127	106_128	105_127	106_128	P00323
1F5QB_5_51_106	51_106	51_106	51_106	51_106	P89883
1F8EA_10_189_236	189_236	269_316	189_236	271_318	P03472
1F8FA_10_255_303	255_303	255_303	255_303	255_303	Q59096
1F97A_2_63_102	63_102	89_128	63_102	89_128	O88792
1FC3A_1_80_98	80_98	219_237	80_98	219_237	P52934
1FC3A_3_31_46	31_46	170_185	31_46	170_185	P52934
1FC4A_11_151_167	151_167	148_164	151_167	148_164	P0AB77
1FC4A_13_338_357	338_357	335_354	338_357	335_354	P0AB77
1FEPA_10_378_427	378_427	378_427	378_427	400_449	P05825
1FG7A_12_86_124	86_124	86_124	86_124	86_124	P06986
1FLGA_10_461_488	461_488	461_488	461_488	495_522	Q9Z4J7
1FLGA_13_158_173	158_173	158_173	158_173	192_207	Q9Z4J7
1FLGA_14_533_548	533_548	533_548	533_548	567_582	Q9Z4J7
1FLGA_20_489_504	489_504	489_504	489_504	523_538	Q9Z4J7
1FLOA_10_222_242	222_242	223_243	222_242	223_243	P03870
1FLTX_1_71_95	71_95	202_226	71_95	202_226	P17948
1FNOA_4_34_76	34_76	34_76	34_76	34_76	P26311
1FNOA_6_320_369	320_369	320_369	320_369	320_369	P26311
1FOEA_10_1_27	1_27	1034_1056	1_27	1030_1056	Q60610
1FOEA_10_68_101	68_101	1097_1130	68_101	1097_1130	Q60610
1FP1D_10_17_45	17_45	19_45	17_45	17_45	P93324
1FP1D_10_228_275	228_275	228_275	228_275	228_275	P93324
1FP1D_10_308_340	308_340	308_340	308_340	308_340	P93324
1FS5A_10_248_266	248_266	248_266	248_266	248_266	P0A759
1FTRA_3_237_277	237_277	237_277	237_277	237_277	Q49610
1FXKC_2_68_105	68_105	72_109	68_105	72_109	O27646
1FXLA_2_96_136	96_136	132_172	96_136	144_184	P26378
1G3NC_8_161_177	161_177	161_177	161_177	161_177	Q98147
1G3QA_5_200_222	200_222	200_222	200_222	200_222	Q8U3I1
1G3QA_9_135_151	135_151	135_151	135_151	135_151	Q8U3I1
1G4IA_2_1_22	1_22	1_22	1_22	23_44	P00593
1G4WR_10_152_171	152_171	312_331	152_171	312_331	P74873
1G55A_10_32_54	32_54	33_55	32_54	33_55	O14717
1G8PA_10_279_298	279_298	279_298	279_298	279_298	P26239
1GG4A_5_400_438	400_438	400_438	400_438	400_438	P11880
1GP0A_3_65_80	65_80	1572_1587	65_80	1572_1587	P11717
1GPPA_5_165_187	165_187	155_177	165_187	438_460	P17255
1GQ6A_10_71_95	71_95	71_95	71_95	71_95	P0DJQ3
1GQEA_10_256_294	256_294	256_294	256_294	256_294	P07012
1GQIA_10_472_503	472_503	476_507	472_503	496_527	B3PC73
1GQVA_2_78_106	78_106	77_105	78_106	104_132	P10153
1GR0A_10_157_188	157_188	157_188	157_188	157_188	P9WKI1
1GR0A_10_246_271	246_271	268_271	246_271	246_271	P9WKI1
1GS9A_2_88_125	88_125	88_125	88_125	106_143	P02649
1GSMA_2_137_170	137_170	133_166	137_170	155_188	Q13477
1GSMA_4_53_90	53_90	49_86	53_90	71_108	Q13477
1GTDA_1_39_81	39_81	39_81	39_81	39_81	O26271
1GTEA_10_860_895	860_895	860_895	860_895	860_895	Q28943
1GTKA_10_101_129	101_129	101_129	101_129	101_129	P06983
1GTKA_10_130_150	130_150	130_150	130_150	130_150	P06983
1GTKA_10_41_67	41_67	41_67	41_67	41_67	P06983
1GTKA_8_222_260	222_260	222_260	222_260	222_260	P06983
1GTTA_10_150_175	150_175	150_175	150_175	150_175	P37352
1GTTA_10_337_360	337_360	337_360	337_360	337_360	P37352
1GTTA_11_129_149	129_149	129_149	129_149	129_149	P37352
1GTVA_1_1_35	1_35	1_35	1_35	1_35	P9WKE1
1GTVA_5_94_120	94_120	94_120	94_120	94_120	P9WKE1
1GU7A_10_1_26	1_26	23_48	1_26	23_48	Q8WZM3
1GU7A_10_300_329	300_329	322_351	300_329	322_351	Q8WZM3
1GU7A_10_77_124	77_124	99_146	77_124	99_146	Q8WZM3
1GU7A_11_245_284	245_284	267_306	245_284	267_306	Q8WZM3
1GU9A_1_1_24	1_24	4_24	1_24	_-	
1GU9A_5_116_143	116_143	116_143	116_143	-_-	
1GUDA_10_226_246	226_246	226_246	226_246	249_269	P39265
1GUZA_10_147_166	147_166	147_166	147_166	147_166	P80039
1GV9A_7_148_176	148_176	172_200	148_176	172_200	Q62902
1GVEA_10_254_279	254_279	254_279	254_279	254_279	P38918
1GVFA_10_224_255	224_255	224_255	224_255	224_255	P0AB74
1GVFA_5_48_82	48_82	48_82	48_82	48_82	P0AB74
1GVJA_2_23_55	23_55	318_350	23_55	318_350	P14921
1GVJA_4_73_97	73_97	368_392	73_97	368_392	P14921
1GVNB_10_173_194	173_194	173_194	173_194	173_194	Q54944
1GWEA_10_139_170	139_170	139_170	139_170	139_170	P29422
1GXRA_10_105_140	105_140	538_573	105_140	538_573	Q04724
1GXRA_10_241_270	241_270	674_703	241_270	674_703	Q04724
1GXUA_1_1_49	1_49	4_49	1_49	1_49	P30131
1GY8A_10_124_144	124_144	122_142	124_144	122_142	Q8T8E9
1GY8A_10_168_196	168_196	166_194	168_196	166_194	Q8T8E9
1GY8A_10_345_367	345_367	343_365	345_367	343_365	Q8T8E9
1GY8A_10_47_70	47_70	45_68	47_70	45_68	Q8T8E9
1GZ6A_10_169_193	169_193	169_193	169_193	169_193	P97852
1GZSB_2_96_134	96_134	171_209	96_134	171_209	O52623
1H2BA_5_1_37	1_37	17_37	1_37	1_22	Q9Y9P9
1H2EA_4_36_83	36_83	37_84	36_83	30_77	Q9ALU0
1H4RA_10_43_81	43_81	42_80	43_81	42_80	P35240
1H4RA_6_200_240	200_240	199_239	200_240	199_239	P35240
1H4VB_13_162_178	162_178	162_178	162_178	162_178	P62374
1H4XA_2_1_55	1_55	2_55	1_55	1_55	O32723
1H54A_16_736_752	736_752	736_752	736_752	736_752	Q7SIE1
1H6DA_3_345_383	345_383	345_383	345_383	345_383	Q07982
1H6TA_10_81_122	81_122	111_152	81_122	111_152	P0DQD2
1H72C_10_34_81	34_81	38_85	34_81	34_81	Q58504
1H99A_2_115_168	115_168	168_221	115_168	168_221	P39805
1H9DB_3_90_125	90_125	91_126	90_125	91_126	Q13951
1HBNB_10_195_216	195_216	196_217	195_216	196_217	P11560
1HM9A_11_23_44	23_44	14_35	23_44	14_35	Q97R46
1HM9A_16_300_323	300_323	291_314	300_323	291_314	Q97R46
1HN0A_13_231_246	231_246	231_246	231_246	231_246	P59807
1HNJA_2_239_293	239_293	239_293	239_293	239_293	P0A6R0
1HTWA_2_1_23	1_23	1_23	1_23	1_23	P44492
1HW7A_7_107_128	107_128	107_128	107_128	105_126	P0A6Y5
1I1NA_11_86_107	86_107	86_107	86_107	87_108	P22061
1I1QA_10_175_192	175_192	175_192	175_192	175_192	P00898
1I1QA_13_270_285	270_285	270_285	270_285	270_285	P00898
1I1QB_6_17_33	17_33	17_33	17_33	18_34	P00905
1I7DA_15_129_148	129_148	129_148	129_148	129_148	P14294
1IFCA_1_109_131	109_131	108_130	109_131	109_131	P02693
1IG0A_7_47_65	47_65	47_65	47_65	47_65	P35202
1IHKA_5_1_17	1_17	-_-	1_17	35_51	P31371
1IK9A_2_133_172	133_172	133_172	133_172	133_172	Q13426
1INPA_6_259_308	259_308	259_308	259_308	259_308	P21327
1IO0A_2_1_57	1_57	179_216	1_57	146_202	Q9DEA6
1IO0A_6_74_116	74_116	233_275	74_116	219_261	Q9DEA6
1IO1A_1_348_395	348_395	400_447	348_395	401_448	P06179
1IO1A_5_30_63	30_63	82_115	30_63	83_116	P06179
1IO7A_10_338_366	338_366	338_366	338_366	338_366	Q55080
1IOMA_12_220_251	220_251	220_251	220_251	220_251	Q5SIM6
1IPAA_10_27_53	27_53	27_53	27_53	27_53	Q7SID4
1IQ8A_15_91_124	91_124	91_124	91_124	91_124	O58843
1IQQA_2_116_148	116_148	116_148	116_148	138_170	O80323
1IQQA_3_83_115	83_115	83_115	83_115	105_137	O80323
1IQVA_3_57_84	57_84	64_80	57_84	57_84	O59230
1IQVA_4_104_139	104_139	104_139	104_139	104_139	O59230
1IRQA_1_1_28	1_28	24_28	1_28	1_28	Q57468
1IRXA_10_18_65	18_65	18_65	18_65	18_65	O57963
1IRXA_11_432_465	432_465	432_465	432_465	432_465	O57963
1ITHA_3_44_70	44_70	44_70	44_70	45_71	P06148
1ITVA_2_56_101	56_101	56_101	56_101	568_613	P14780
1ITXA_5_379_419	379_419	411_451	379_419	411_451	P20533
1IU8A_5_106_130	106_130	106_130	106_130	106_130	O58321
1IUHA_2_154_183	154_183	154_183	154_183	154_183	Q5SHB1
1IUHA_5_1_23	1_23	1_23	1_23	1_23	Q5SHB1
1IUQA_10_189_210	189_210	190_211	189_210	284_305	P10349
1IVHA_10_70_93	70_93	70_93	70_93	102_125	P26440
1IXCA_10_121_141	121_141	121_141	121_141	121_141	Q9WXC7
1IXCA_10_1_27	1_27	2_27	1_27	1_27	Q9WXC7
1IXCA_10_219_242	219_242	219_242	219_242	219_242	Q9WXC7
1IXCA_10_84_120	84_120	84_120	84_120	84_120	Q9WXC7
1IXCA_11_103_120	103_120	103_120	103_120	103_120	Q9WXC7
1IXCA_5_219_257	219_257	219_257	219_257	219_257	Q9WXC7
1IXCA_6_1_44	1_44	2_44	1_44	1_44	Q9WXC7
1IXLA_2_50_70	50_70	50_70	50_70	50_70	O58863
1IXMA_2_22_47	22_47	22_47	22_47	22_47	P06535
1IXMA_6_48_69	48_69	48_69	48_69	48_69	P06535
1IZMA_1_1_36	1_36	2_34	1_36	1_34	P44882
1J0HA_10_197_221	197_221	197_221	197_221	197_221	P38940
1J0HA_11_506_535	506_535	506_535	506_535	506_535	P38940
1J1BA_10_266_295	266_295	266_295	266_295	266_295	P49841
1J1DC_3_49_77	49_77	79_107	49_77	79_107	P19429
1J1IA_10_238_258	238_258	238_258	238_258	238_258	Q84II3
1J1TA_4_142_173	142_173	142_173	142_173	142_173	P84143
1J1TA_6_117_141	117_141	117_141	117_141	117_141	P84143
1J1VA_1_72_94	72_94	445_467	72_94	445_467	P03004
1J24A_2_40_80	40_80	40_80	40_80	586_626	Q8TZH8
1J2GA_8_240_268	240_268	240_268	240_268	410_438	Q45697
1J2GA_9_139_162	139_162	139_162	139_162	309_332	Q45697
1J2JB_1_1_26	1_26	168_191	1_26	166_191	Q9UJY5
1J2ZA_1_202_249	202_249	202_249	202_249	202_249	O25927
1J30A_2_68_89	68_89	68_89	68_89	68_89	F9VPE5
1J3LA_5_66_86	66_86	66_86	66_86	66_86	Q5SIP7
1J4AA_10_225_262	225_262	225_262	225_262	225_262	P26297
1J5SA_10_136_177	136_177	124_165	136_177	124_165	Q9WXR9
1J8YF_2_1_39	1_39	3_39	1_39	1_39	P70722
1JADA_1_131_179	131_179	128_176	131_179	1038_1086	Q91086
1JB0A_10_642_678	642_678	642_678	642_678	642_678	P0A405
1JE0A_3_180_226	180_226	180_226	180_226	180_226	P50389
1JETA_10_353_394	353_394	353_394	353_394	379_420	P06202
1JETA_15_119_134	119_134	119_134	119_134	145_160	P06202
1JEYB_11_96_131	96_131	96_131	96_131	96_131	P13010
1JF3A_3_65_83	65_83	65_83	65_83	65_83	P02216
1JF8A_2_1_43	1_43	2_43	1_43	1_43	P0A006
1JF8A_2_62_101	62_101	62_101	62_101	62_101	P0A006
1JFBA_10_188_235	188_235	187_234	188_235	187_234	P23295
1JIGA_1_94_146	94_146	95_147	94_146	95_147	Q8RPQ1
1JKGA_2_22_37	22_37	22_37	22_37	22_37	Q9UKK6
1JL0A_2_102_156	102_156	102_156	102_156	102_156	P17707
1JMUB_10_488_534	488_534	530_576	488_534	530_576	P11077
1JOSA_2_69_85	69_85	69_85	69_85	69_85	P45141
1JP4A_10_127_145	127_145	127_145	127_145	127_145	Q9Z1N4
1JQNA_14_792_812	792_812	792_812	792_812	792_812	P00864
1JSXA_2_1_44	1_44	1_35	1_44	1_44	P0A6U5
1JUVA_4_44_91	44_91	44_91	44_91	44_91	P04382
1JY1A_14_119_135	119_135	263_279	119_135	263_279	Q9NUW8
1JYOA_1_1_20	1_20	1_20	1_20	1_6	P0CL16
1K3IA_16_453_468	453_468	436_451	453_468	477_492	P0CS93
1K3IA_23_508_523	508_523	491_506	508_523	532_547	P0CS93
1K3RA_4_238_262	238_262	238_262	238_262	238_262	O26109
1K3YA_4_35_53	35_53	36_54	35_53	36_54	P08263
1K8KC_10_138_168	138_168	138_168	138_168	138_168	Q58CQ2
1K8KC_10_29_48	29_48	29_48	29_48	29_48	Q58CQ2
1K8KC_11_74_90	74_90	74_90	74_90	74_90	Q58CQ2
1K8KC_12_202_222	202_222	202_222	202_222	202_222	Q58CQ2
1K8KC_12_223_243	223_243	223_243	223_243	223_243	Q58CQ2
1K8KE_2_72_102	72_102	72_102	72_102	72_102	Q3T035
1K8QA_10_25_45	25_45	25_45	25_45	44_64	P80035
1K8QA_10_266_287	266_287	266_287	266_287	285_306	P80035
1K9VF_6_1_36	1_36	301_336	1_36	1_36	Q9X0C8
1KAEA_12_316_353	316_353	316_353	316_353	316_353	P06988
1KAEA_13_234_272	234_272	234_272	234_272	234_272	P06988
1KAEA_4_67_102	67_102	67_102	67_102	67_102	P06988
1KAFA_2_55_93	55_93	158_196	55_93	158_196	P22915
1KAFA_3_24_54	24_54	127_157	24_54	127_157	P22915
1KAGA_3_72_102	72_102	72_102	72_102	72_102	P0A6D7
1KB5A_1_78_115	78_115	79_120	78_115	?_?	
1KBIA_17_365_394	365_394	365_394	365_394	445_474	P00175
1KBVA_10_35_50	35_50	35_50	35_50	75_90	Q02219
1KCGC_6_1_29	1_29	9_37	1_29	30_58	Q9BZM4
1KCMA_10_79_108	79_108	80_109	79_108	80_109	P53810
1KDGA_13_209_241	209_241	418_450	209_241	436_468	Q01738
1KDGA_17_348_372	348_372	557_581	348_372	575_599	Q01738
1KEAA_2_108_136	108_136	108_136	108_136	108_136	P29588
1KF6B_6_31_53	31_53	31_53	31_53	32_54	P0AC47
1KF6C_4_31_62	31_62	31_62	31_62	32_63	P0A8Q0
1KGSA_2_75_122	75_122	75_122	75_122	75_122	Q9WYN0
1KHDA_10_1_25	1_25	12_25	1_25	1_25	Q8VP84
1KHDA_10_205_239	205_239	205_239	205_239	205_239	Q8VP84
1KHDA_10_256_281	256_281	256_281	256_281	256_281	Q8VP84
1KHDA_10_81_104	81_104	81_104	81_104	81_104	Q8VP84
1KHIA_3_77_106	77_106	77_106	77_106	77_106	P87252
1KHVA_11_133_160	133_160	133_160	133_160	1384_1411	P27410
1KHYA_3_1_36	1_36	4_36	1_36	1_36	P63284
1KHYA_3_37_67	37_67	37_67	37_67	37_67	P63284
1KI1B_14_234_264	234_264	1462_1492	234_264	1462_1492	Q15811
1KI1B_2_112_145	112_145	1340_1373	112_145	1340_1373	Q15811
1KK1A_11_371_397	371_397	371_397	371_397	372_398	Q9V1G0
1KKHA_10_66_95	66_95	66_95	66_95	61_90	Q58487
1KKHA_4_106_136	106_136	106_136	106_136	101_131	Q58487
1KKOA_10_148_169	148_169	148_169	148_169	148_169	O66145
1KKOA_10_305_328	305_328	305_328	305_328	305_328	O66145
1KKOA_11_359_383	359_383	359_382	359_383	359_383	O66145
1KL9A_6_56_72	56_72	63_72	56_72	57_73	P05198
1KLXA_2_91_133	91_133	91_133	91_133	91_133	O25103
1KMOA_23_388_415	388_415	355_382	388_415	388_415	P13036
1KMTA_1_54_90	54_90	117_153	54_90	117_153	P52565
1KN1A_2_32_57	32_57	34_59	32_57	33_58	P59856
1KNGA_4_106_127	106_127	144_165	106_127	144_165	P30960
1KNWA_10_163_191	163_191	163_191	163_191	163_191	P00861
1KNZA_5_16_41	16_41	16_41	16_41	16_41	P03536
1KOEA_1_17_42	17_42	154_179	17_42	1613_1638	P39061
1KOPA_6_104_129	104_129	107_132	104_129	133_158	Q50940
1KR4A_1_1_41	1_41	0_25	1_41	1_19	Q9X0E6
1KRHA_3_292_337	292_337	292_337	292_337	302_347	P07771
1KT6A_2_143_175	143_175	143_175	143_175	143_175	P18902
1KTGA_4_1_36	1_36	2_36	1_36	1_36	Q9U2M7
1KXPD_10_95_133	95_133	126_149	95_133	111_149	P02774
1KYFA_10_107_129	107_129	798_820	107_129	798_820	P17427
1KYFA_10_21_36	21_36	712_727	21_36	712_727	P17427
