All-alpha 16VPA_10_189_206	P06492_235_252
Alpha-beta 1CPYA_16_139_169	P00729_250_280
All-alpha 1CQXA_10_23_47	P39662_23_47
All-alpha 1CQXA_10_277_294	P39662_277_294
All-beta 1CQXA_11_157_180	P39662_157_180
Alpha-beta 1CQXA_14_295_329	P39662_295_329
All-alpha 1CR1A_10_75_94	P03692_345_364
All-alpha 1CR1A_10_95_118	P03692_365_388
All-beta 1CR5A_3_117_140	P18759_138_161
All-beta 1CRUA_10_226_244	P13650_250_268
All-beta 1CRUA_14_18_47	P13650_42_71
All-beta 1CRUA_16_401_421	P13650_425_445
Alpha-beta 1CS1A_10_295_316	P00935_295_316
Alpha-beta 1CS1A_10_355_384	P00935_355_384
Alpha-beta 1CS1A_10_50_84	P00935_50_84
All-beta 1CS6A_10_1_33	P28685_28_60
All-beta 1CS6A_10_261_292	P28685_288_319
All-beta 1CS6A_10_293_320	P28685_320_347
All-alpha 1CSEI_1_1_24	P01051_1_24
All-alpha 1CSHA_10_150_173	P23007_152_175
Alpha-beta 1CSHA_14_315_340	P23007_317_342
Alpha-beta 1CSHA_4_389_420	P23007_391_422
All-beta 1CSKA_1_1_30	P41240_1_30
All-alpha 1CT5A_4_178_201	P38197_179_202
Alpha-beta 1CT5A_6_60_83	P38197_61_84
All-alpha 1CT9A_10_333_363	P22106_334_364
Alpha-beta 1CT9A_19_1_26	P22106_2_27
All-beta 1CT9A_21_137_159	P22106_138_160
Alpha-beta 1CUKA_7_1_46	P0A809_1_46
All-beta 1CV8A_3_121_153	P81297_335_367
Alpha-beta 1CV8A_4_80_100	P81297_294_314
Alpha-beta 1CVRA_10_180_203	P95493_409_432
Alpha-beta 1CVRA_10_44_68	P95493_273_297
Alpha-beta 1CVRA_11_17_43	P95493_246_272
All-beta 1CWVA_10_265_293	P11922_758_786
Alpha-beta 1CWVA_10_360_384	P11922_853_877
All-beta 1CWVA_11_67_93	P11922_560_586
All-beta 1CWVA_13_94_132	P11922_587_625
Alpha-beta 1CYDA_3_83_106	P08074_83_106
All-alpha 1CYDA_6_37_56	P08074_37_56
Alpha-beta 1CZPA_1_1_37	P0A3C8_2_38
All-beta 1CZPA_2_1_22	P0A3C8_2_23
Alpha-beta 1D02A_3_142_177	P43642_142_177
Alpha-beta 1D2FA_4_256_292	P23256_256_292
Alpha-beta 1D2NA_5_66_107	P18708_538_579
All-alpha 1D2ZA_1_19_68	Q05652_40_89
Alpha-beta 1D3YA_3_218_258	Q57815_286_326
Alpha-beta 1D7OA_10_1_41	P80030_84_124
Alpha-beta 1D8WA_11_149_171	P32170_142_164
All-alpha 1D9CA_3_50_74	P07353_73_97
All-alpha 1D9CA_3_75_98	P07353_98_121
All-alpha 1DBHA_3_109_144	Q07889_306_341
All-alpha 1DCIA_7_142_176	Q62651_194_228
Alpha-beta 1DD5A_5_71_102	Q9X1B9_71_102
Alpha-beta 1DFMA_6_132_160	Q45488_132_160
All-alpha 1DJ0A_4_137_153	P07649_143_159
Alpha-beta 1DLJA_10_66_117	P0C0F4_66_117
All-alpha 1DNPA_10_348_373	P00914_349_374
All-alpha 1DPBA_6_126_141	P10802_521_536
Alpha-beta 1DUVG_10_40_81	P04391_41_82
Alpha-beta 1DYSA_10_161_215	Q7SIG5_161_215
All-alpha 1E5KA_3_20_43	P32173_20_43
Alpha-beta 1E7LA_1_103_157	P13340_103_157
Alpha-beta 1E8CA_7_337_381	P22188_338_382
All-alpha 1ECFA_10_276_294	P0AG16_277_295
Alpha-beta 1ECFA_16_190_208	P0AG16_191_209
All-alpha 1EDZA_10_73_90	Q02046_73_90
All-alpha 1EU8A_10_142_170	Q7LYW7_183_211
All-alpha 1EU8A_10_209_236	Q7LYW7_250_277
Alpha-beta 1EUHA_14_323_359	Q59931_323_359
Alpha-beta 1EUHA_18_142_170	Q59931_142_170
All-beta 1EUVA_6_101_124	Q02724_501_524
All-alpha 1EV7A_10_1_30	P50187_1_30
Alpha-beta 1EV7A_6_179_211	P50187_179_211
Alpha-beta 1EVLA_10_379_401	P0A8M3_620_642
Alpha-beta 1EVLA_10_49_89	P0A8M3_290_330
Alpha-beta 1EVLA_11_291_334	P0A8M3_532_575
Alpha-beta 1EVLA_15_307_334	P0A8M3_548_575
All-alpha 1EVYA_10_310_331	P90551_310_331
All-alpha 1EW0A_2_67_87	P10955_188_208
All-beta 1EW0A_3_88_110	P10955_209_231
All-beta 1EW4A_3_26_53	P27838_26_53
All-beta 1EWFA_10_356_383	P17213_387_414
All-beta 1EWFA_10_428_456	P17213_459_487
All-beta 1EX0A_13_420_444	P00488_421_445
Alpha-beta 1EXRA_3_100_134	P07463_101_135
Alpha-beta 1EYVA_3_22_56	P9WIV1_22_56
Alpha-beta 1EZ0A_10_168_204	Q56694_168_204
All-alpha 1EZ4A_10_178_194	P56511_180_196
Alpha-beta 1EZ4A_13_21_37	P56511_23_39
All-alpha 1EZIA_2_193_215	P0A0Z8_193_215
All-alpha 1EZJA_4_29_49	P04859_347_367
Alpha-beta 1EZWA_10_35_64	Q8TXY4_35_64
Alpha-beta 1EZWA_11_171_194	Q8TXY4_171_194
Alpha-beta 1EZWA_11_195_229	Q8TXY4_195_229
Alpha-beta 1EZWA_13_132_155	Q8TXY4_132_155
All-beta 1F00I_6_66_95	P19809_723_752
All-beta 1F00I_7_160_185	P19809_817_842
Alpha-beta 1F08A_3_60_112	P03116_215_267
Alpha-beta 1F0KA_10_241_273	P17443_240_272
All-alpha 1F0LA_5_323_361	P00588_355_393
All-beta 1F3UA_3_39_57	P13984_40_58
Alpha-beta 1F4PA_5_105_127	P00323_106_128
Alpha-beta 1F5QB_5_51_106	P89883_51_106
All-beta 1F8EA_10_189_236	P03472_271_318
Alpha-beta 1F8FA_10_255_303	Q59096_255_303
All-beta 1F97A_2_63_102	O88792_89_128
All-alpha 1FC3A_1_80_98	P52934_219_237
All-alpha 1FC3A_3_31_46	P52934_170_185
Alpha-beta 1FC4A_11_151_167	P0AB77_148_164
All-alpha 1FC4A_13_338_357	P0AB77_335_354
All-beta 1FEPA_10_378_427	P05825_400_449
Alpha-beta 1FG7A_12_86_124	P06986_86_124
All-beta 1FLGA_10_461_488	Q9Z4J7_495_522
All-beta 1FLGA_13_158_173	Q9Z4J7_192_207
All-beta 1FLGA_14_533_548	Q9Z4J7_567_582
All-beta 1FLGA_20_489_504	Q9Z4J7_523_538
Alpha-beta 1FLOA_10_222_242	P03870_223_243
All-beta 1FLTX_1_71_95	P17948_202_226
Alpha-beta 1FNOA_4_34_76	P26311_34_76
Alpha-beta 1FNOA_6_320_369	P26311_320_369
All-alpha 1FOEA_10_1_27	Q60610_1030_1056
All-alpha 1FOEA_10_68_101	Q60610_1097_1130
All-alpha 1FP1D_10_17_45	P93324_17_45
Alpha-beta 1FP1D_10_228_275	P93324_228_275
Alpha-beta 1FP1D_10_308_340	P93324_308_340
All-alpha 1FS5A_10_248_266	P0A759_248_266
Alpha-beta 1FTRA_3_237_277	Q49610_237_277
Alpha-beta 1FXKC_2_68_105	O27646_72_109
Alpha-beta 1FXLA_2_96_136	P26378_144_184
All-alpha 1G3NC_8_161_177	Q98147_161_177
All-alpha 1G3QA_5_200_222	Q8U3I1_200_222
Alpha-beta 1G3QA_9_135_151	Q8U3I1_135_151
All-alpha 1G4IA_2_1_22	P00593_23_44
All-alpha 1G4WR_10_152_171	P74873_312_331
Alpha-beta 1G55A_10_32_54	O14717_33_55
Alpha-beta 1G8PA_10_279_298	P26239_279_298
Alpha-beta 1GG4A_5_400_438	P11880_400_438
All-beta 1GP0A_3_65_80	P11717_1572_1587
All-beta 1GPPA_5_165_187	P17255_438_460
Alpha-beta 1GQ6A_10_71_95	P0DJQ3_71_95
Alpha-beta 1GQEA_10_256_294	P07012_256_294
All-alpha 1GQIA_10_472_503	B3PC73_496_527
Alpha-beta 1GQVA_2_78_106	P10153_104_132
Alpha-beta 1GR0A_10_157_188	P9WKI1_157_188
All-beta 1GR0A_10_246_271	P9WKI1_246_271
All-alpha 1GS9A_2_88_125	P02649_106_143
All-beta 1GSMA_2_137_170	Q13477_155_188
All-beta 1GSMA_4_53_90	Q13477_71_108
Alpha-beta 1GTDA_1_39_81	O26271_39_81
All-alpha 1GTEA_10_860_895	Q28943_860_895
Alpha-beta 1GTKA_10_101_129	P06983_101_129
Alpha-beta 1GTKA_10_130_150	P06983_130_150
Alpha-beta 1GTKA_10_41_67	P06983_41_67
All-beta 1GTKA_8_222_260	P06983_222_260
Alpha-beta 1GTTA_10_150_175	P37352_150_175
All-beta 1GTTA_10_337_360	P37352_337_360
All-beta 1GTTA_11_129_149	P37352_129_149
Alpha-beta 1GTVA_1_1_35	P9WKE1_1_35
All-alpha 1GTVA_5_94_120	P9WKE1_94_120
All-beta 1GU7A_10_1_26	Q8WZM3_23_48
All-alpha 1GU7A_10_300_329	Q8WZM3_322_351
Alpha-beta 1GU7A_10_77_124	Q8WZM3_99_146
Alpha-beta 1GU7A_11_245_284	Q8WZM3_267_306
All-alpha 1GU9A_1_1_24	__-
All-alpha 1GU9A_5_116_143	_-_-
Alpha-beta 1GUDA_10_226_246	P39265_249_269
All-alpha 1GUZA_10_147_166	P80039_147_166
All-beta 1GV9A_7_148_176	Q62902_172_200
Alpha-beta 1GVEA_10_254_279	P38918_254_279
All-alpha 1GVFA_10_224_255	P0AB74_224_255
Alpha-beta 1GVFA_5_48_82	P0AB74_48_82
Alpha-beta 1GVJA_2_23_55	P14921_318_350
All-alpha 1GVJA_4_73_97	P14921_368_392
All-alpha 1GVNB_10_173_194	Q54944_173_194
All-alpha 1GWEA_10_139_170	P29422_139_170
All-beta 1GXRA_10_105_140	Q04724_538_573
All-beta 1GXRA_10_241_270	Q04724_674_703
Alpha-beta 1GXUA_1_1_49	P30131_1_49
Alpha-beta 1GY8A_10_124_144	Q8T8E9_122_142
Alpha-beta 1GY8A_10_168_196	Q8T8E9_166_194
All-alpha 1GY8A_10_345_367	Q8T8E9_343_365
Alpha-beta 1GY8A_10_47_70	Q8T8E9_45_68
Alpha-beta 1GZ6A_10_169_193	P97852_169_193
All-alpha 1GZSB_2_96_134	O52623_171_209
All-beta 1H2BA_5_1_37	Q9Y9P9_1_22
Alpha-beta 1H2EA_4_36_83	Q9ALU0_30_77
All-beta 1H4RA_10_43_81	P35240_42_80
Alpha-beta 1H4RA_6_200_240	P35240_199_239
All-alpha 1H4VB_13_162_178	P62374_162_178
Alpha-beta 1H4XA_2_1_55	O32723_1_55
All-beta 1H54A_16_736_752	Q7SIE1_736_752
Alpha-beta 1H6DA_3_345_383	Q07982_345_383
Alpha-beta 1H6TA_10_81_122	P0DQD2_111_152
Alpha-beta 1H72C_10_34_81	Q58504_34_81
Alpha-beta 1H99A_2_115_168	P39805_168_221
Alpha-beta 1H9DB_3_90_125	Q13951_91_126
All-alpha 1HBNB_10_195_216	P11560_196_217
All-alpha 1HM9A_11_23_44	Q97R46_14_35
All-beta 1HM9A_16_300_323	Q97R46_291_314
All-alpha 1HN0A_13_231_246	P59807_231_246
Alpha-beta 1HNJA_2_239_293	P0A6R0_239_293
Alpha-beta 1HTWA_2_1_23	P44492_1_23
All-beta 1HW7A_7_107_128	P0A6Y5_105_126
Alpha-beta 1I1NA_11_86_107	P22061_87_108
All-beta 1I1QA_10_175_192	P00898_175_192
All-alpha 1I1QA_13_270_285	P00898_270_285
Alpha-beta 1I1QB_6_17_33	P00905_18_34
Alpha-beta 1I7DA_15_129_148	P14294_129_148
All-beta 1IFCA_1_109_131	P02693_109_131
Alpha-beta 1IG0A_7_47_65	P35202_47_65
Alpha-beta 1IHKA_5_1_17	P31371_35_51
All-alpha 1IK9A_2_133_172	Q13426_133_172
Alpha-beta 1INPA_6_259_308	P21327_259_308
Alpha-beta 1IO0A_2_1_57	Q9DEA6_146_202
Alpha-beta 1IO0A_6_74_116	Q9DEA6_219_261
All-alpha 1IO1A_1_348_395	P06179_401_448
All-alpha 1IO1A_5_30_63	P06179_83_116
All-beta 1IO7A_10_338_366	Q55080_338_366
All-alpha 1IOMA_12_220_251	Q5SIM6_220_251
Alpha-beta 1IPAA_10_27_53	Q7SID4_27_53
Alpha-beta 1IQ8A_15_91_124	O58843_91_124
Alpha-beta 1IQQA_2_116_148	O80323_138_170
All-alpha 1IQQA_3_83_115	O80323_105_137
All-alpha 1IQVA_3_57_84	O59230_57_84
Alpha-beta 1IQVA_4_104_139	O59230_104_139
Alpha-beta 1IRQA_1_1_28	Q57468_1_28
Alpha-beta 1IRXA_10_18_65	O57963_18_65
All-alpha 1IRXA_11_432_465	O57963_432_465
All-alpha 1ITHA_3_44_70	P06148_45_71
All-beta 1ITVA_2_56_101	P14780_568_613
Alpha-beta 1ITXA_5_379_419	P20533_411_451
Alpha-beta 1IU8A_5_106_130	O58321_106_130
All-beta 1IUHA_2_154_183	Q5SHB1_154_183
Alpha-beta 1IUHA_5_1_23	Q5SHB1_1_23
All-alpha 1IUQA_10_189_210	P10349_284_305
All-alpha 1IVHA_10_70_93	P26440_102_125
Alpha-beta 1IXCA_10_121_141	Q9WXC7_121_141
All-alpha 1IXCA_10_1_27	Q9WXC7_1_27
Alpha-beta 1IXCA_10_219_242	Q9WXC7_219_242
Alpha-beta 1IXCA_10_84_120	Q9WXC7_84_120
Alpha-beta 1IXCA_11_103_120	Q9WXC7_103_120
Alpha-beta 1IXCA_5_219_257	Q9WXC7_219_257
All-alpha 1IXCA_6_1_44	Q9WXC7_1_44
All-alpha 1IXLA_2_50_70	O58863_50_70
All-alpha 1IXMA_2_22_47	P06535_22_47
All-alpha 1IXMA_6_48_69	P06535_48_69
Alpha-beta 1IZMA_1_1_36	P44882_1_34
Coil 1J0HA_10_197_221	P38940_197_221
Alpha-beta 1J0HA_11_506_535	P38940_506_535
All-alpha 1J1BA_10_266_295	P49841_266_295
All-alpha 1J1DC_3_49_77	P19429_79_107
All-alpha 1J1IA_10_238_258	Q84II3_238_258
All-beta 1J1TA_4_142_173	P84143_142_173
All-beta 1J1TA_6_117_141	P84143_117_141
All-alpha 1J1VA_1_72_94	P03004_445_467
Alpha-beta 1J24A_2_40_80	Q8TZH8_586_626
Alpha-beta 1J2GA_8_240_268	Q45697_410_438
All-beta 1J2GA_9_139_162	Q45697_309_332
All-alpha 1J2JB_1_1_26	Q9UJY5_166_191
All-alpha 1J2ZA_1_202_249	O25927_202_249
All-alpha 1J30A_2_68_89	F9VPE5_68_89
Alpha-beta 1J3LA_5_66_86	Q5SIP7_66_86
Alpha-beta 1J4AA_10_225_262	P26297_225_262
Alpha-beta 1J5SA_10_136_177	Q9WXR9_124_165
Alpha-beta 1J8YF_2_1_39	P70722_1_39
All-alpha 1JADA_1_131_179	Q91086_1038_1086
All-alpha 1JB0A_10_642_678	P0A405_642_678
Alpha-beta 1JE0A_3_180_226	P50389_180_226
Alpha-beta 1JETA_10_353_394	P06202_379_420
All-alpha 1JETA_15_119_134	P06202_145_160
Alpha-beta 1JEYB_11_96_131	P13010_96_131
All-alpha 1JF3A_3_65_83	P02216_65_83
Alpha-beta 1JF8A_2_1_43	P0A006_1_43
Alpha-beta 1JF8A_2_62_101	P0A006_62_101
Alpha-beta 1JFBA_10_188_235	P23295_187_234
All-alpha 1JIGA_1_94_146	Q8RPQ1_95_147
All-alpha 1JKGA_2_22_37	Q9UKK6_22_37
Alpha-beta 1JL0A_2_102_156	P17707_102_156
Alpha-beta 1JMUB_10_488_534	P11077_530_576
All-alpha 1JOSA_2_69_85	P45141_69_85
All-beta 1JP4A_10_127_145	Q9Z1N4_127_145
All-alpha 1JQNA_14_792_812	P00864_792_812
Alpha-beta 1JSXA_2_1_44	P0A6U5_1_44
Alpha-beta 1JUVA_4_44_91	P04382_44_91
All-beta 1JY1A_14_119_135	Q9NUW8_263_279
All-alpha 1JYOA_1_1_20	P0CL16_1_6
All-beta 1K3IA_16_453_468	P0CS93_477_492
All-beta 1K3IA_23_508_523	P0CS93_532_547
Alpha-beta 1K3RA_4_238_262	O26109_238_262
All-alpha 1K3YA_4_35_53	P08263_36_54
All-beta 1K8KC_10_138_168	Q58CQ2_138_168
All-beta 1K8KC_10_29_48	Q58CQ2_29_48
All-beta 1K8KC_11_74_90	Q58CQ2_74_90
All-beta 1K8KC_12_202_222	Q58CQ2_202_222
All-beta 1K8KC_12_223_243	Q58CQ2_223_243
All-alpha 1K8KE_2_72_102	Q3T035_72_102
All-beta 1K8QA_10_25_45	P80035_44_64
All-alpha 1K8QA_10_266_287	P80035_285_306
Alpha-beta 1K9VF_6_1_36	Q9X0C8_1_36
Alpha-beta 1KAEA_12_316_353	P06988_316_353
Alpha-beta 1KAEA_13_234_272	P06988_234_272
All-alpha 1KAEA_4_67_102	P06988_67_102
Alpha-beta 1KAFA_2_55_93	P22915_158_196
All-beta 1KAFA_3_24_54	P22915_127_157
Alpha-beta 1KAGA_3_72_102	P0A6D7_72_102
All-beta 1KB5A_1_78_115	_?_?
All-alpha 1KBIA_17_365_394	P00175_445_474
All-beta 1KBVA_10_35_50	Q02219_75_90
All-beta 1KCGC_6_1_29	Q9BZM4_30_58
Alpha-beta 1KCMA_10_79_108	P53810_80_109
All-beta 1KDGA_13_209_241	Q01738_436_468
All-beta 1KDGA_17_348_372	Q01738_575_599
All-alpha 1KEAA_2_108_136	P29588_108_136
All-alpha 1KF6B_6_31_53	P0AC47_32_54
All-alpha 1KF6C_4_31_62	P0A8Q0_32_63
Alpha-beta 1KGSA_2_75_122	Q9WYN0_75_122
Alpha-beta 1KHDA_10_1_25	Q8VP84_1_25
All-beta 1KHDA_10_205_239	Q8VP84_205_239
All-alpha 1KHDA_10_256_281	Q8VP84_256_281
All-alpha 1KHDA_10_81_104	Q8VP84_81_104
All-beta 1KHIA_3_77_106	P87252_77_106
All-alpha 1KHVA_11_133_160	P27410_1384_1411
Alpha-beta 1KHYA_3_1_36	P63284_1_36
All-alpha 1KHYA_3_37_67	P63284_37_67
All-beta 1KI1B_14_234_264	Q15811_1462_1492
All-alpha 1KI1B_2_112_145	Q15811_1340_1373
All-beta 1KK1A_11_371_397	Q9V1G0_372_398
All-alpha 1KKHA_10_66_95	Q58487_61_90
All-alpha 1KKHA_4_106_136	Q58487_101_131
Alpha-beta 1KKOA_10_148_169	O66145_148_169
All-alpha 1KKOA_10_305_328	O66145_305_328
All-alpha 1KKOA_11_359_383	O66145_359_383
All-beta 1KL9A_6_56_72	P05198_57_73
Alpha-beta 1KLXA_2_91_133	O25103_91_133
All-beta 1KMOA_23_388_415	P13036_388_415
All-beta 1KMTA_1_54_90	P52565_117_153
All-alpha 1KN1A_2_32_57	P59856_33_58
All-beta 1KNGA_4_106_127	P30960_144_165
Alpha-beta 1KNWA_10_163_191	P00861_163_191
Alpha-beta 1KNZA_5_16_41	P03536_16_41
Alpha-beta 1KOEA_1_17_42	P39061_1613_1638
All-beta 1KOPA_6_104_129	Q50940_133_158
Alpha-beta 1KR4A_1_1_41	Q9X0E6_1_19
Alpha-beta 1KRHA_3_292_337	P07771_302_347
Alpha-beta 1KT6A_2_143_175	P18902_143_175
All-beta 1KTGA_4_1_36	Q9U2M7_1_36
Alpha-beta 1KXPD_10_95_133	P02774_111_149
All-beta 1KYFA_10_107_129	P17427_798_820
All-beta 1KYFA_10_21_36	P17427_712_727
Alpha-beta 1KZ7A_6_270_317	Q64096_891_938
All-beta 1L0QA_10_31_53	Q50245_73_95
Alpha-beta 1L5OA_10_243_283	Q05603_243_283
Alpha-beta 1L6RA_3_42_81	Q9HLQ2_39_78
All-alpha 1L6WA_7_27_42	P78055_27_42
All-alpha 1L7AA_10_223_247	P94388_223_247
All-beta 1LC0A_10_181_222	P46844_182_223
All-alpha 1LEHA_10_314_338	Q7SIB4_314_338
Alpha-beta 1LEHA_5_227_280	Q7SIB4_227_280
Alpha-beta 1LFKA_2_82_135	Q8RN04_82_135
All-alpha 1LFPA_3_18_77	O67517_18_77
Alpha-beta 1LFWA_2_428_468	P45494_428_468
All-alpha 1LNSA_10_27_46	P22346_27_46
All-alpha 1LP1A_2_17_38	_?_?
All-alpha 1LQAA_10_307_326	P0A9T4_307_326
Alpha-beta 1LRZA_10_298_352	P0A0A5_298_352
All-beta 1LSHA_15_603_656	Q91062_619_672
Alpha-beta 1LTQA_10_193_247	P06855_193_247
All-alpha 1M0KA_6_113_137	P02945_113_137
All-beta 1M1ZA_10_177_198	P0DJQ7_177_198
Alpha-beta 1M1ZA_10_199_218	P0DJQ7_199_218
All-alpha 1M1ZA_11_90_111	P0DJQ7_90_111
All-alpha 1M22A_10_1_21	Q8RJN5_38_58
Alpha-beta 1M22A_10_263_313	Q8RJN5_300_350
Alpha-beta 1M22A_13_162_180	Q8RJN5_199_217
Alpha-beta 1M55A_3_49_99	Q9YJC1_49_99
Alpha-beta 1M65A_4_1_38	P75914_1_38
Alpha-beta 1M6IA_11_204_238	O95831_324_358
All-alpha 1M6SA_10_104_119	Q9X266_100_115
Alpha-beta 1M6SA_10_150_168	Q9X266_146_164
All-alpha 1M6YA_10_145_168	Q9WZX6_143_166
All-alpha 1M7SA_15_447_469	P46206_473_495
All-beta 1M93B_2_82_113	P07385_137_168
Alpha-beta 1M93B_4_34_68	P07385_89_123
Alpha-beta 1MB3A_2_52_96	Q9A5I4_58_102
All-alpha 1MBAA_4_20_48	P02210_20_48
All-beta 1MBYA_1_1_34	Q64702_838_871
All-beta 1MDAH_10_67_124	_?_?
Alpha-beta 1MEGA_2_108_134	P10056_240_266
All-alpha 1MFTA_1_17_51	_-_-
Alpha-beta 1MG7A_11_250_285	Q23229_250_285
Alpha-beta 1MGTA_6_1_40	O74023_1_40
All-beta 1MI8A_2_57_72	Q55418_435_450
All-alpha 1MIJA_5_1_21	P29617_1545_1565
Alpha-beta 1MIOB_10_168_202	P11347_168_202
All-alpha 1MIOB_10_436_457	P11347_436_457
Alpha-beta 1MIOB_10_51_66	P11347_51_66
All-alpha 1MIOB_11_373_389	P11347_373_389
Alpha-beta 1MIOB_14_113_139	P11347_113_139
All-alpha 1MIWA_15_136_161	Q7SIB1_136_161
All-beta 1MIXA_6_161_189	P54939_355_383
All-beta 1MIXA_7_116_137	P54939_310_331
Alpha-beta 1MJFA_4_74_103	Q8U4G1_74_103
All-beta 1MJFA_6_206_233	Q8U4G1_206_233
Alpha-beta 1MJHA_3_103_143	Q57997_103_143
Alpha-beta 1MJNA_2_127_163	P20701_279_315
All-beta 1ML9A_5_111_142	Q8X225_140_171
Alpha-beta 1MNMA_1_1_28	P11746_1_28
Alpha-beta 1MO9A_10_1_40	Q56839_1_40
All-beta 1MO9A_10_269_312	Q56839_269_312
Alpha-beta 1MOQA_10_51_93	P17169_292_334
Alpha-beta 1MOQA_11_51_78	P17169_292_319
All-beta 1MPXA_20_17_47	Q6YBS3_39_69
Alpha-beta 1MQOA_3_40_99	P04190_70_129
All-beta 1MRZA_8_180_219	Q9WZW1_180_219
All-alpha 1MUSA_10_318_362	Q46731_318_362
Alpha-beta 1MV8A_14_173_196	P11759_173_196
Alpha-beta 1MV8A_16_102_120	P11759_102_120
Alpha-beta 1MV8A_16_121_157	P11759_121_157
Alpha-beta 1MVLA_3_79_97	Q9SWE5_79_97
Alpha-beta 1MW7A_2_1_57	O24970_1_57
Alpha-beta 1MW7A_4_185_201	O24970_185_201
Alpha-beta 1MW7A_8_142_184	O24970_142_184
Alpha-beta 1MW9X_12_256_303	P06612_256_303
Alpha-beta 1N0WA_4_91_132	Q06609_187_228
Alpha-beta 1N13B_3_37_74	Q57764_89_126
Alpha-beta 1N2SA_6_63_104	P26392_63_104
All-alpha 1N40A_10_306_323	P9WPP7_306_323
All-alpha 1N81A_5_50_67	Q8IEU2_70_87
All-beta 1NEPA_1_84_130	P79345_103_149
Alpha-beta 1NF2A_4_189_245	Q9WZB9_189_245
All-alpha 1NG6A_5_130_148	P54464_130_148
All-alpha 1NI5A_10_250_270	P52097_249_269
All-beta 1NKGA_14_268_321	Q00019_287_340
